#TYPE System.Management.Automation.PSCustomObject
"Article","LineNumber","Term","Line"
"\insights\network-performance-monitor.md","121","log analytics","   > Only private peerings that are connected to the virtual networks associated with the subscription linked with this Log Analytics workspace are discovered. If ExpressRoute is connected to virtual networks outside of the subscription linked to this workspace, create a Log Analytics workspace in those subscriptions. Use Network Performance Monitor to monitor those peerings."
"\insights\network-performance-monitor.md","131","log analytics","After the setup is finished, it takes 30 minutes to an hour for the data to populate. While the solution aggregates data from your network, you see the message *Solution requires additional configuration* on the Network Performance Monitor **Overview** tile. After the data is collected and indexed, the **Overview** tile changes and informs you of your network health in a summary. You then can edit the monitoring of the nodes on which Log Analytics agents are installed, as well as the subnets discovered from your environment."
"\insights\network-performance-monitor.md","172","log analytics","The solution uses synthetic transactions to assess the health of the network. Log Analytics agents installed at various points in the network exchange TCP packets or ICMP Echo with one another. Whether the agents use TCP packets or ICMP Echo depends on the protocol you selected for monitoring. In the process, agents learn the round-trip time and packet loss, if any. Periodically, each agent also performs a trace route to other agents to find all the various routes in the network that must be tested. Using this data, the agents can deduce the network latency and packet loss figures. The tests are repeated every five seconds. Data is aggregated for about three minutes by the agents before it's uploaded to the Log Analytics service."
"\insights\network-performance-monitor.md","245","log analytics","## Log Analytics search "
"\insights\network-performance-monitor.md","247","log analytics","All data that is exposed graphically through the Network Performance Monitor dashboard and drill-down pages is also available natively in [Log Analytics search](../../azure-monitor/log-query/log-query-overview.md). You can perform interactive analysis of data in the repository and correlate data from different sources. You also can create custom alerts and views and export the data to Excel, Power BI, or a shareable link. The???**Common Queries**???area in the dashboard has some useful queries that you can use as the starting point to create your own queries and reports. "
"\insights\network-performance-monitor.md","255","log analytics","If you are an NPM user creating an alert via Log Analytics: "
"\insights\scom-assessment.md","2","log analytics","title: Optimize your System Center Operations Manager environment with Azure Log Analytics | Microsoft Docs"
"\insights\scom-assessment.md","42","log analytics"," - Before you can use the Health Check solution in Log Analytics, you must have the solution installed. Install the solution from [Azure marketplace](https://azuremarketplace.microsoft.com/marketplace/apps/Microsoft.SCOMAssessmentOMS?tab=Overview)."
"\insights\scom-assessment.md","49","log analytics","> Configuration of System Center Operations Manager can be done using a script by following the steps mentioned in the configuration page of the solution in Log Analytics."
"\insights\scom-assessment.md","65","log analytics","Data is collected on the management server and forwarded to Log Analytics every seven days.  "
"\insights\scom-assessment.md","67","log analytics","## Operations Manager run-as accounts for Log Analytics"
"\insights\scom-assessment.md","208","log analytics","Before you can use a health check solution in Log Analytics, you must have the solution installed. To read more about installing solutions, see [Install a management solution](../../azure-monitor/insights/solutions.md). After it is installed, you can view the summary of recommendations by using the System Center Operations Manager Health Check tile on the **Overview** page for your workspace in the Azure portal."
"\insights\scom-assessment.md","208","management solution","Before you can use a health check solution in Log Analytics, you must have the solution installed. To read more about installing solutions, see [Install a management solution](../../azure-monitor/insights/solutions.md). After it is installed, you can view the summary of recommendations by using the System Center Operations Manager Health Check tile on the **Overview** page for your workspace in the Azure portal."
"\insights\scom-assessment.md","214","log analytics","2. In the Azure portal, click **More services** found on the lower left-hand corner. In the list of resources, type **Log Analytics**. As you begin typing, the list filters based on your input. Select **Log Analytics**."
"\insights\scom-assessment.md","215","log analytics","3. In the Log Analytics subscriptions pane, select a workspace and then click the **Workspace summary** menu item.  "
"\insights\scom-assessment.md","223","log analytics","If you have recommendations that you want to ignore, you can create a text file that Log Analytics uses to prevent recommendations from appearing in your assessment results."
"\insights\scom-assessment.md","226","log analytics","1. In the Azure portal on the Log Analytics workspace page for your selected workspace, click the **Log Search** menu item."
"\insights\scom-assessment.md","234","log analytics","    > If your workspace has been upgraded to the [new Log Analytics query language](../../azure-monitor/log-query/log-query-overview.md), then the above query would change to the following."
"\insights\scom-assessment.md","234","log analytics query language","    > If your workspace has been upgraded to the [new Log Analytics query language](../../azure-monitor/log-query/log-query-overview.md), then the above query would change to the following."
"\insights\scom-assessment.md","245","log analytics","2. Paste or type each RecommendationId for each recommendation that you want Log Analytics to ignore on a separate line and then save and close the file."
"\insights\scom-assessment.md","246","log analytics","3. Put the file in the following folder on each computer where you want Log Analytics to ignore recommendations."
"\insights\scom-assessment.md","259","log analytics","    > If your workspace has been upgraded to the [new Log Analytics query language](../../azure-monitor/log-query/log-query-overview.md), then the above query would change to the following."
"\insights\scom-assessment.md","259","log analytics query language","    > If your workspace has been upgraded to the [new Log Analytics query language](../../azure-monitor/log-query/log-query-overview.md), then the above query would change to the following."
"\insights\scom-assessment.md","267","log analytics","*I added the Health Check solution to my Log Analytics workspace. But I don???t see the recommendations. Why not?* After adding the solution, use the following steps view the recommendations on the Log Analytics dashboard.  "
"\insights\service-map-configure.md","125","log analytics","Service Map gets its data from the Microsoft Dependency agent. The Dependency agent relies on the Log Analytics agent for its connections to Log Analytics. This means that a server must have the Log Analytics agent installed and configured with the Dependency agent.  The following table describes the connected sources that the Service Map solution supports."
"\insights\service-map-configure.md","129","log analytics","| Windows agents | Yes | Service Map analyzes and collects data from Windows computers. <br><br>In addition to the [Log Analytics agent for Windows](../../azure-monitor/platform/log-analytics-agent.md), Windows agents require the Microsoft Dependency agent. See the [supported operating systems](#supported-operating-systems) for a complete list of operating system versions. |"
"\insights\service-map-configure.md","130","log analytics","| Linux agents | Yes | Service Map analyzes and collects data from Linux computers. <br><br>In addition to the [Log Analytics agent for Linux](../../azure-monitor/platform/log-analytics-agent.md), Linux agents require the Microsoft Dependency agent. See the [supported operating systems](#supported-operating-systems) for a complete list of operating system versions. |"
"\insights\service-map-configure.md","131","log analytics","| System Center Operations Manager management group | Yes | Service Map analyzes and collects data from Windows and Linux agents in a connected [System Center Operations Manager management group](../../azure-monitor/platform/om-agents.md). <br><br>A direct connection from the System Center Operations Manager agent computer to Log Analytics is required. |"
"\insights\service-map-configure.md","134","log analytics","On Windows, the Microsoft Monitoring Agent (MMA) is used by both System Center Operations Manager and Log Analytics to gather and send monitoring data. (This agent is called the System Center Operations Manager agent, Log Analytics agent, MMA, or Direct Agent, depending on the context.) System Center Operations Manager and Log Analytics provide different out-of-the box versions of the MMA. These versions can each report to System Center Operations Manager, to Log Analytics, or to both.  "
"\insights\service-map-configure.md","136","log analytics","On Linux, the Log Analytics agent for Linux gathers and sends monitoring data to Log Analytics. You can use Service Map on servers with Log Analytics agents connected directly to the service, or that are reporting to an Operations Manager management group integrated with Log Analytics.  "
"\insights\service-map-configure.md","138","log analytics","In this article, we'll refer to all agents, whether Linux or Windows connected to a System Center Operations Manager management group or directly to Log Analytics, as the *Log Analytics agent*. "
"\insights\service-map-configure.md","140","log analytics","The Service Map agent does not transmit any data itself, and it does not require any changes to firewalls or ports. The data in Service Map is always transmitted by the Log Analytics agent to the Log Analytics service, either directly or through the Log Analytics gateway."
"\insights\service-map-configure.md","144","log analytics","If you are a System Center Operations Manager customer with a management group connected to Log Analytics:"
"\insights\service-map-configure.md","146","log analytics","- If your System Center Operations Manager agents can access the Internet to connect to Log Analytics, no additional configuration is required.  "
"\insights\service-map-configure.md","147","log analytics","- If your System Center Operations Manager agents cannot access Log Analytics over the Internet, you need to configure the Log Analytics gateway to work with System Center Operations Manager."
"\insights\service-map-configure.md","149","log analytics","If your Windows or Linux computers cannot directly connect to the service, you need to configure the Log Analytics agent to connect to the Log Analytics workspace using the gateway. For further information on how to deploy and configure the Log Analytics gateway, see [Connect computers without Internet access using the Log Analytics gateway](../../azure-monitor/platform/gateway.md).  "
"\insights\service-map-configure.md","152","log analytics","When Service Map is activated in a Log Analytics workspace, a 300-KB management pack is forwarded to all the Windows servers in that workspace. If you are using System Center Operations Manager agents in a [connected management group](../../azure-monitor/platform/om-agents.md), the Service Map management pack is deployed from System Center Operations Manager. "
"\insights\service-map-configure.md","226","log analytics","1.	Install the Log Analytics agent for Windows following one of the methods described in [Log Analytics agent overview](../../azure-monitor/platform/log-analytics-agent.md)."
"\insights\service-map-configure.md","254","log analytics","1.	Install the Log Analytics agent following one of the methods described in [Log Analytics agent overview](../../azure-monitor/platform/log-analytics-agent.md)."
"\insights\service-map-configure.md","380","log analytics","* Are you on the [Free pricing tier of Operations Management Suite/Log Analytics](https://docs.microsoft.com/azure/log-analytics/log-analytics-add-solutions#offers-and-pricing-tiers)? The Free plan allows for up to five unique Service Map servers. Any subsequent servers won't show up in Service Map, even if the prior five are no longer sending data."
"\insights\service-map-configure.md","382","log analytics","* Is your server sending log and perf data to Log Analytics? Go to Log Search and run the following query for your computer: "
"\insights\service-map-configure.md","386","log analytics","Did you get a variety of events in the results? Is the data recent? If so, your Log Analytics Agent is operating correctly and communicating with Log Analytics. If not, check the agent on your server: [Log Analytics agent for Windows troubleshooting](https://support.microsoft.com/help/3126513/how-to-troubleshoot-monitoring-onboarding-issues) or [Log Analytics agent for Linux troubleshooting](../../azure-monitor/platform/agent-linux-troubleshoot.md)."
"\insights\service-map-scom.md","29","log analytics","* A Log Analytics workspace with the Service Map solution enabled."
"\insights\service-map-scom.md","31","log analytics","* A service principal with access to the Azure subscription that is associated with the Log Analytics workspace. For more information, go to [Create a service principal](#create-a-service-principal)."
"\insights\service-map-scom.md","44","log analytics",">[Operations Management Suite was a collection of services](https://github.com/MicrosoftDocs/azure-docs-pr/pull/azure-monitor/azure-monitor-rebrand.md#retirement-of-operations-management-suite-brand) that included Log Analytics, which is now part of [Azure Monitor](https://github.com/MicrosoftDocs/azure-docs-pr/pull/azure-monitor/overview.md)."
"\insights\service-map-scom.md","56","log analytics","3. In the **Subscription Selection** window, select the Azure subscription, Azure resource group (the one that contains the Log Analytics workspace), and Log Analytics workspace, and then click **Next**."
"\insights\service-map-scom.md","74","log analytics","6. Optional: Select the Management Server resource pool to communicate with Log Analytics, and then click **Add Workspace**."
"\insights\service-map-scom.md","78","log analytics","    It might take a minute to configure and register the Log Analytics workspace. After it is configured, Operations Manager initiates the first Service Map sync."
"\insights\service-map-scom.md","84","log analytics","After the Log Analytics workspace is connected, a new folder, Service Map, is displayed in the **Monitoring** pane of the Operations Manager console."
"\insights\service-map-scom.md","89","log analytics","* **Active Alerts**: Lists all the active alerts about the communication between Operations Manager and Service Map.  Note that these alerts are not Log Analytics alerts being synced to Operations Manager. "
"\insights\service-map-scom.md","107","log analytics",">[Operations Management Suite was a collection of services](https://github.com/MicrosoftDocs/azure-docs-pr/pull/azure-monitor/azure-monitor-rebrand.md#retirement-of-operations-management-suite-brand) that included Log Analytics, which is now part of [Azure Monitor](https://github.com/MicrosoftDocs/azure-docs-pr/pull/azure-monitor/overview.md)."
"\insights\service-map-scom.md","109","log analytics","You can configure only one Log Analytics workspace for now."
"\insights\service-map-scom.md","126","log analytics","* You can only connect to a single Log Analytics workspace."
"\insights\service-map.md","34","log analytics","4. On the **Service Map** overview pane, review the solution details and then click **Create** to begin the onboarding process to your Log Analytics workspace.<br><br> ![Onboard the Service Map solution](./media/service-map/service-map-onboard.png)."
"\insights\service-map.md","35","log analytics","5. In the **Configure a solution** pane, select an existing or create a new Log Analytics workspace.  For further information on how to create a new workspace, see [Create a Log Analytics workspace in the Azure portal](../../azure-monitor/learn/quick-create-workspace.md). After providing the required information, click **Create**.  "
"\insights\service-map.md","39","log analytics","You access Service Map in the Azure portal from your Log Analytics workspace, and select the option **Solutions** from the left pane.<br><br> ![Select Solutions option in workspace](./media/service-map/select-solution-from-workspace.png).<br> From the list of solutions, select **ServiceMap(workspaceName)** and in the Service Map solution overview page click on the Service Map summary tile.<br><br> ![Service Map summary tile](./media/service-map/service-map-summary-tile.png)."
"\insights\service-map.md","217","log analytics","Service Map integration with the IT Service Management Connector is automatic when both solutions are enabled and configured in your Log Analytics workspace. The integration in Service Map is labeled ""Service Desk."" For more information, see [Centrally manage ITSM work items using IT Service Management Connector](https://docs.microsoft.com/azure/log-analytics/log-analytics-itsmc-overview)."
"\insights\service-map.md","226","log analytics","Connection metrics are written to two new tables in Log Analytics "
"\insights\service-map.md","229","log analytics","Service Map integration with Change Tracking is automatic when both solutions are enabled and configured in your Log Analytics workspace."
"\insights\service-map.md","235","log analytics","The following image is a detailed view of a ConfigurationChange event that you might see after you select **Show in Log Analytics**."
"\insights\service-map.md","244","log analytics","To see performance data, you may need to [enable the appropriate Log Analytics performance counters](https://docs.microsoft.com/azure/log-analytics/log-analytics-data-sources-performance-counters).  The counters you will want to enable:"
"\insights\service-map.md","261","log analytics","Service Map integration with Security and Audit is automatic when both solutions are enabled and configured in your Log Analytics workspace."
"\insights\service-map.md","270","management solution","The **Machine Updates** pane displays data from the Update Management solution for the selected server. The pane lists a summary of any missing updates for the server during the selected time range."
"\insights\service-map.md","274","log analytics","## Log Analytics records"
"\insights\service-map.md","275","log analytics","Service Map computer and process inventory data is available for [search](../../azure-monitor/log-query/log-query-overview.md) in Log Analytics. You can apply this data to scenarios that include migration planning, capacity analysis, discovery, and on-demand performance troubleshooting."
"\insights\service-map.md","284","log analytics","- Computer: Use *ResourceId* or *ResourceName_s* to uniquely identify a computer within a Log Analytics workspace."
"\insights\service-map.md","285","log analytics","- Process: Use *ResourceId* to uniquely identify a process within a Log Analytics workspace. *ResourceName_s* is unique within the context of the machine on which the process is running (MachineResourceName_s) "
"\insights\service-map.md","290","log analytics","Connection metrics are written to a new table in Log Analytics - VMConnection. This table provides information about the connections for a machine (inbound and outbound). Connection Metrics are also exposed with APIs that provide the means to obtain a specific metric during a time window.  TCP connections resulting from ""*accept*-ing on a listening socket are inbound, while those created by *connect*-ing to a given IP and port are outbound. The direction of a connection is represented by the Direction property, which can be set to either **inbound** or **outbound**. "
"\insights\service-map.md","502","log analytics","Learn more about [log searches](../../azure-monitor/log-query/log-query-overview.md) in Log Analytics to retrieve data that's collected by Service Map."
"\insights\solution-agenthealth.md","3","log analytics","description: This article is intended to help you understand how to use this solution to monitor the health of your agents reporting directly to Log Analytics or System Center Operations Manager."
"\insights\solution-agenthealth.md","18","log analytics","The Agent Health solution in Azure helps you understand, for all of the agents reporting directly to the Log Analytics workspace or a System Center Operations Manager management group  connected to Log Analytics, which are unresponsive and submitting operational data.  You can also keep track of how many agents are deployed, where they are distributed geographically, and perform other queries to maintain awareness of the distribution of agents deployed in Azure, other cloud environments, or on-premises.    "
"\insights\solution-agenthealth.md","21","log analytics","Before you deploy this solution, confirm you have currently supported [Windows agents](../../log-analytics/log-analytics-windows-agent.md) reporting to the Log Analytics workspace or reporting to an [Operations Manager management group](../../azure-monitor/platform/om-agents.md) integrated with your workspace.    "
"\insights\solution-agenthealth.md","27","log analytics","If your System Center Operations Manager management group is connected to a Log Analytics workspace,  the following management packs are installed in Operations Manager.  These management packs are also installed on directly connected Windows computers after adding this solution. There is nothing to configure or manage with these management packs."
"\insights\solution-agenthealth.md","32","log analytics","For more information on how solution management packs are updated, see [Connect Operations Manager to Log Analytics](../../azure-monitor/platform/om-agents.md)."
"\insights\solution-agenthealth.md","35","log analytics","Add the Agent Health solution to your Log Analytics workspace using the process described in [Add solutions](solutions.md). There is no further configuration required."
"\insights\solution-agenthealth.md","45","log analytics","| System Center Operations Manager management group | Yes | Heartbeat events are collected from  agents reporting to the management group every 60 seconds and then forwarded to Log Analytics. A direct connection from Operations Manager agents to Log Analytics is not required. Heartbeat event data is forwarded from the management group to the Log Analytics repository.|"
"\insights\solution-agenthealth.md","48","log analytics","When you add the solution to your Log Analytics workspace, the **Agent Health** tile will be added to your dashboard. This tile shows the total number of agents and the number of unresponsive agents in the last 24 hours.<br><br> ![Agent Health Solution tile on dashboard](./media/solution-agenthealth/agenthealth-solution-tile-homepage.png)"
"\insights\solution-agenthealth.md","61","log analytics","| Count of Gateways Installed | The number of servers that have the Log Analytics gateway installed, and a list of these servers.|"
"\insights\solution-agenthealth.md","65","log analytics","## Log Analytics records"
"\insights\solution-agenthealth.md","66","log analytics","The solution creates one type of record in the Log Analytics workspace.  "
"\insights\solution-agenthealth.md","79","log analytics","| Version | Log Analytics Agent or Operations Manager Agent version.|"
"\insights\solution-agenthealth.md","81","log analytics","| IsGatewayInstalled | If Log Analytics gateway is installed, value is *true*, otherwise value is *false*.|"
"\insights\solution-agenthealth.md","89","log analytics","Each agent reporting to an Operations Manager management server will send two heartbeats, and SCAgentChannel property's value will include both **Direct** and **SCManagementServer** depending on what Log Analytics data sources and solutions you have enabled in your subscription. If you recall, data from solutions are either sent directly from an Operations Manager management server to Log Analytics, or because of the volume of data collected on the agent, are sent directly from the agent to Log Analytics. For heartbeat events which have the value **SCManagementServer**, the ComputerIP value is the IP address of the management server since the data is actually uploaded by it.  For heartbeats where SCAgentChannel is set to **Direct**, it is the public IP address of the agent.  "
"\insights\solution-agenthealth.md","107","log analytics","| Heartbeat &#124; where iff(isnotnull(toint(IsGatewayInstalled)), IsGatewayInstalled == true, IsGatewayInstalled == ""true"") == true &#124; distinct Computer |Number of Log Analytics Gateways Installed |"
"\insights\solution-agenthealth.md","114","log analytics","* Learn about [Alerts in Log Analytics](../../monitoring-and-diagnostics/monitoring-overview-alerts.md) for details on generating alerts from Log Analytics. "
"\insights\solution-office-365.md","2","management solution","title: Office 365 management solution in Azure | Microsoft Docs"
"\insights\solution-office-365.md","3","log analytics","description: This article provides details on configuration and use of the Office 365 solution in Azure.  It includes detailed description of the Office 365 records created in Log Analytics."
"\insights\solution-office-365.md","16","management solution","# Office 365 management solution in Azure (Preview)"
"\insights\solution-office-365.md","20","log analytics","The Office 365 management solution allows you to monitor your Office 365 environment in Log Analytics."
"\insights\solution-office-365.md","20","management solution","The Office 365 management solution allows you to monitor your Office 365 environment in Log Analytics."
"\insights\solution-office-365.md","45","log analytics","From your Log Analytics workspace:"
"\insights\solution-office-365.md","59","management solution","The first step is to create an application in Azure Active Directory that the management solution will use to access your Office 365 solution."
"\insights\solution-office-365.md","169","log analytics","### Subscribe to Log Analytics workspace"
"\insights\solution-office-365.md","170","log analytics","The last step is to subscribe the application to your Log Analytics workspace. You also do this with a PowerShell script."
"\insights\solution-office-365.md","338","log analytics","    .\office365_subscription.ps1 -WorkspaceName <Log Analytics workspace name> -ResourceGroupName <Resource Group name> -SubscriptionId <Subscription ID> -OfficeUsername <OfficeUsername> -OfficeTennantID <Tenant ID> -OfficeClientId <Client ID> -OfficeClientSecret <Client secret>"
"\insights\solution-office-365.md","372","log analytics","You can remove the Office 365 management solution using the process in [Remove a management solution](solutions.md#remove-a-management-solution). This will not stop data being collected from Office 365 into Log Analytics though. Follow the procedure below to unsubscribe from Office 365 and stop collecting data."
"\insights\solution-office-365.md","372","management solution","You can remove the Office 365 management solution using the process in [Remove a management solution](solutions.md#remove-a-management-solution). This will not stop data being collected from Office 365 into Log Analytics though. Follow the procedure below to unsubscribe from Office 365 and stop collecting data."
"\insights\solution-office-365.md","462","log analytics","    .\office365_unsubscribe.ps1 -WorkspaceName <Log Analytics workspace name> -ResourceGroupName <Resource Group name> -SubscriptionId <Subscription ID> -OfficeTennantID <Tenant ID> "
"\insights\solution-office-365.md","473","log analytics","The Office 365 solution doesn't retrieve data from any of the [Log Analytics agents](../../azure-monitor/platform/agent-data-sources.md).  It retrieves data directly from Office 365."
"\insights\solution-office-365.md","476","log analytics","It may take a few hours for data to initially be collected. Once it starts collecting, Office 365 sends a [webhook notification](https://msdn.microsoft.com/office-365/office-365-management-activity-api-reference#receiving-notifications) with detailed data to Log Analytics each time a record is created. This record is available in Log Analytics within a few minutes after being received."
"\insights\solution-office-365.md","479","log analytics","When you add the Office 365 solution to your Log Analytics workspace, the **Office 365** tile will be added to your dashboard. This tile displays a count and graphical representation of the number of computers in your environment and their update compliance.<br><br>"
"\insights\solution-office-365.md","498","log analytics","## Log Analytics records"
"\insights\solution-office-365.md","500","log analytics","All records created in the Log Analytics workspace by the Office 365 solution have a **Type** of **OfficeActivity**.  The **OfficeWorkload** property determines which Office 365 service the record refers to - Exchange, AzureActiveDirectory, SharePoint, or OneDrive.  The **RecordType** property specifies the type of operation.  The properties will vary for each operation type and are shown in the tables below."
"\insights\solution-office-365.md","705","log analytics","* Use Log Searches in [Log Analytics](../../azure-monitor/log-query/log-query-overview.md) to view detailed update data."
"\insights\solution-targeting.md","2","management solution","title: Targeting Management Solutions in Azure | Microsoft Docs"
"\insights\solution-targeting.md","3","management solution","description: Targeting management solutions allows you to limit management solutions to a specific set of agents.  This article describes how to create a scope configuration and apply it to a solution."
"\insights\solution-targeting.md","17","management solution","# Targeting Management Solutions in Azure (Preview)"
"\insights\solution-targeting.md","18","log analytics","When you add a management solution to your subscription, it's automatically deployed by default to all Windows and Linux agents connected to your Log Analytics workspace.  You may want to manage your costs and limit the amount of data collected for a solution by limiting it to a particular set of agents.  This article describes how to use **Solution Targeting** which is a feature that allows you to apply a scope to your solutions."
"\insights\solution-targeting.md","18","management solution","When you add a management solution to your subscription, it's automatically deployed by default to all Windows and Linux agents connected to your Log Analytics workspace.  You may want to manage your costs and limit the amount of data collected for a solution by limiting it to a particular set of agents.  This article describes how to use **Solution Targeting** which is a feature that allows you to apply a scope to your solutions."
"\insights\solution-targeting.md","25","log analytics","You specify the computers that you want to include in a scope by creating a [computer group](../../azure-monitor/platform/computer-groups.md) in Log Analytics.  The computer group can be based on a log search or imported from other sources such as Active Directory or WSUS groups. As [described below](#solutions-and-agents-that-cant-be-targeted), only computers that are directly connected to Log Analytics will be included in the scope."
"\insights\solution-targeting.md","35","log analytics"," 1. In the Azure portal, navigate to **Log Analytics** and select your workspace."
"\insights\solution-targeting.md","49","log analytics"," 1. In the Azure portal, navigate to **Log Analytics** and select your workspace."
"\insights\solution-targeting.md","62","log analytics","- You can only filter out agents that connect directly to Log Analytics.  Solutions will automatically deploy to any agents that are part of a connected Operations Manager management group whether or not they're included in a scope configuration."
"\insights\solution-targeting.md","70","log analytics","- Learn more about management solutions including the solutions that are available to install in your environment at [Add Azure Log Analytics management solutions to your workspace](solutions.md)."
"\insights\solution-targeting.md","70","management solution","- Learn more about management solutions including the solutions that are available to install in your environment at [Add Azure Log Analytics management solutions to your workspace](solutions.md)."
"\insights\solution-targeting.md","71","log analytics","- Learn more about creating computer groups at [Computer groups in Log Analytics log searches](../../azure-monitor/platform/computer-groups.md)."
"\insights\solutions-best-practices.md","2","management solution","title: Management solution in Azure best practices | Microsoft Docs"
"\insights\solutions-best-practices.md","17","management solution","# Best practices for creating management solutions in Azure (Preview)"
"\insights\solutions-best-practices.md","19","management solution","> This is preliminary documentation for creating management solutions in Azure which are currently in preview. Any schema described below is subject to change.  "
"\insights\solutions-best-practices.md","21","management solution","This article provides best practices for [creating a management solution file](solutions-solution-file.md) in Azure.  This information will be updated as additional best practices are identified."
"\insights\solutions-best-practices.md","32","log analytics","- Include the [IngestionAPI module](https://www.powershellgallery.com/packages/OMSIngestionAPI/1.5) in your solution to be used by runbooks writing data to the Log Analytics repository.  Configure the solution to [reference](solutions-solution-file.md#solution-resource) this resource so that it remains if the solution is removed.  This allows multiple solutions to share the module."
"\insights\solutions-best-practices.md","46","management solution","* Walk through the basic process of [designing and building a management solution](solutions-creating.md)."
"\insights\solutions-best-practices.md","48","management solution","* [Add saved searches and alerts](solutions-resources-searches-alerts.md) to your management solution."
"\insights\solutions-best-practices.md","49","management solution","* [Add views](solutions-resources-views.md) to your management solution."
"\insights\solutions-best-practices.md","50","management solution","* [Add Automation runbooks and other resources](solutions-resources-automation.md) to your management solution."
"\insights\solutions-creating.md","2","management solution","title: Build a management solution in Azure | Microsoft Docs"
"\insights\solutions-creating.md","3","log analytics","description: Management solutions include packaged management scenarios in Azure that customers can add to their Log Analytics workspace.  This article provides details on how you can create management solutions to be used in your own environment or made available to your customers."
"\insights\solutions-creating.md","3","management solution","description: Management solutions include packaged management scenarios in Azure that customers can add to their Log Analytics workspace.  This article provides details on how you can create management solutions to be used in your own environment or made available to your customers."
"\insights\solutions-creating.md","18","management solution","# Design and build a management solution in Azure (Preview)"
"\insights\solutions-creating.md","20","management solution","> This is preliminary documentation for creating management solutions in Azure which are currently in preview. Any schema described below is subject to change."
"\insights\solutions-creating.md","22","log analytics","[Management solutions]( solutions.md) provide packaged management scenarios that customers can add to their Log Analytics workspace.  This article presents a basic process to design and build a management solution that is suitable for most common requirements.  If you are new to building management solutions then you can use this process as a starting point and then leverage the concepts for more complex solutions as your requirements evolve."
"\insights\solutions-creating.md","22","management solution","[Management solutions]( solutions.md) provide packaged management scenarios that customers can add to their Log Analytics workspace.  This article presents a basic process to design and build a management solution that is suitable for most common requirements.  If you are new to building management solutions then you can use this process as a starting point and then leverage the concepts for more complex solutions as your requirements evolve."
"\insights\solutions-creating.md","24","management solution","## What is a management solution?"
"\insights\solutions-creating.md","28","management solution","The basic strategy is to start your management solution by building the individual components in your Azure environment.  Once you have the functionality working properly, then you can start packaging them into a [management solution file]( solutions-solution-file.md). "
"\insights\solutions-creating.md","32","management solution","The most common pattern for a management solution is shown in the following diagram.  The different components in this pattern are discussed in the below."
"\insights\solutions-creating.md","34","management solution","![Management solution overview](media/solutions-creating/solution-overview.png)"
"\insights\solutions-creating.md","38","log analytics","The first step in designing a solution is determining the data that you require from the Log Analytics repository.  This data may be collected by a [data source](../../azure-monitor/platform/agent-data-sources.md) or [another solution]( solutions.md), or your solution may need to provide the process to collect it."
"\insights\solutions-creating.md","40","log analytics","There are a number of ways data sources that can be collected in the Log Analytics repository as described in [Data sources in Log Analytics](../../azure-monitor/platform/agent-data-sources.md).  This includes events in the Windows Event Log or generated by Syslog in addition to performance counters for both Windows and Linux clients.  You can also gather data from Azure resources collected by Azure Monitor.  "
"\insights\solutions-creating.md","42","log analytics","If you require data that's not accessible through any of the available data sources, then you can use the [HTTP Data Collector API](../../azure-monitor/platform/data-collector-api.md) which allows you to write data to the Log Analytics repository from any client that can call a REST API.  The most common means of custom data collection in a management solution is to create a [runbook in Azure Automation](../../automation/automation-runbook-types.md) that collects the required data from Azure or external resources and uses the Data Collector API to write to the repository.  "
"\insights\solutions-creating.md","42","management solution","If you require data that's not accessible through any of the available data sources, then you can use the [HTTP Data Collector API](../../azure-monitor/platform/data-collector-api.md) which allows you to write data to the Log Analytics repository from any client that can call a REST API.  The most common means of custom data collection in a management solution is to create a [runbook in Azure Automation](../../automation/automation-runbook-types.md) that collects the required data from Azure or external resources and uses the Data Collector API to write to the repository.  "
"\insights\solutions-creating.md","45","log analytics","[Log searches](../../azure-monitor/log-query/log-query-overview.md) are used to extract and analyze data in the Log Analytics repository.  They are used by views and alerts in addition to allowing the user to perform ad hoc analysis of data in the repository.  "
"\insights\solutions-creating.md","50","log analytics","[Alerts in Log Analytics](../../monitoring-and-diagnostics/monitoring-overview-alerts.md) identify issues through [log searches](#log-searches) against the data in the repository.  They either notify the user or automatically run an action in response. You should identify different alert conditions for your application and include corresponding alert rules in your solution file."
"\insights\solutions-creating.md","57","log analytics","Views in Log Analytics are used to visualize data from the Log Analytics repository.  Each solution will typically contain a single view with a [tile](../../azure-monitor/platform/view-designer-tiles.md) that is displayed on the user's main dashboard.  The view can contain any number of [visualization parts](../../azure-monitor/platform/view-designer-parts.md) to provide different visualizations of the collected data to the user."
"\insights\solutions-creating.md","78","management solution","* Learn how to [create a solution file]( solutions-solution-file.md) for your management solution."
"\insights\solutions-inventory.md","2","management solution","title: Data collection details for management solutions in Azure | Microsoft Docs"
"\insights\solutions-inventory.md","3","management solution","description: Management solutions in Azure are a collection of logic, visualization, and data acquisition rules that provide metrics pivoted around a particular problem area.  This article provides a list of management solutions available from Microsoft and details about their method and frequency of data collection."
"\insights\solutions-inventory.md","17","management solution","# Data collection details for management solutions in Azure"
"\insights\solutions-inventory.md","18","log analytics","This article includes a list of [management solutions](solutions.md) available from Microsoft with links to their detailed documentation.  It also provides information on their method and frequency of data collection into Log Analytics.  You can use the information in this article to identify the different solutions available and to understand the data flow and connection requirements for different management solutions. "
